,PToP1,Kurtosis1,PToP4,Std4,Kurtosis4,Std1
0,47.0,-0.3303342905842923,45.0,8.794758319144737,-0.3227139823698262,9.827517128284637
1,41.0,-0.5028785868197394,56.0,11.142561744864269,-0.3378738050398016,11.645063124430964
2,41.0,-0.4096680837917419,56.0,10.734864842658506,-0.1471053709807028,11.88126066006397
3,40.0,-0.3930725821287018,55.0,10.65419484478271,-0.1314708624208229,12.07834066504752
4,37.0,-0.4068583721827239,54.0,10.697880205902392,-0.1221953402614368,12.145629022320174
5,41.0,-0.3526299680770721,56.0,11.028428110006772,-0.0153951252794013,12.827505116749146
6,401.0,10.177806548435433,415.0,70.15132584769788,10.456442864487697,70.96166392505074
7,43.0,-0.3411333311447984,49.0,12.257361381340534,-0.1922376790330227,14.098776673163272
8,44.0,-0.310506520576705,46.0,12.827916076588563,-0.1763256769304315,14.60580718688846
9,47.0,-0.2583513364876868,49.0,13.67384199116368,-0.1513678605788806,15.309990829430438
10,49.0,-0.2060551589531636,49.0,14.539495014884604,-0.1583211393620498,16.120189497061126
11,50.0,-0.2349566658853397,51.0,15.764004243617377,-0.1982200110611383,17.19937079090717
12,53.0,-0.2859419180996632,49.0,16.627547366852472,-0.2503250317010921,17.768100984624738
13,51.0,-0.3043110236190349,52.0,16.942913387492048,-0.2912682333519534,17.990345542880252
14,51.0,-0.2858874048083386,50.0,17.02381637969735,-0.3109741783154467,17.638369035038096
15,51.0,-0.2994490689310312,48.0,16.751572099544955,-0.3084491252026731,17.41752297941207
16,49.0,-0.2958880779736748,49.0,16.165553543039874,-0.2757538539017812,16.588541230045696
17,50.0,-0.3117373947203421,47.0,15.137805838828548,-0.2993519536716489,15.864744340887514
18,48.0,-0.3430365728710312,47.0,14.614118719337778,-0.3249256811301317,15.391706013938832
19,51.0,-0.3612960946498429,46.0,14.001718594417794,-0.3652288650376838,14.944292575371986
20,48.0,-0.4029785006578841,46.0,13.645567689310225,-0.3965996271221454,14.774943169610587
21,47.0,-0.4121695243351837,54.0,13.475113492931031,-0.3679555456776064,14.544646452743518
22,44.0,-0.4837401840384836,59.0,14.025176029549382,-0.3720921745180416,14.29295190243381
23,41.0,-0.5051084611490855,56.0,14.066838986754767,-0.4244408425766157,13.985547398672072
24,43.0,-0.5209633299231844,60.0,14.019889795589474,-0.3996450121399517,13.81537738835578
25,46.0,-0.5402898389637056,60.0,13.686134294783932,-0.4315842181757658,13.52534312212907
26,43.0,-0.5478440868230723,55.0,13.075959392134113,-0.4600981132196753,12.93524743004623
27,45.0,-0.5095369969843366,60.0,12.59073649318359,-0.4016262869719487,12.540968668355124
28,46.0,-0.5044792354813379,58.0,11.927729367166238,-0.434909119929006,11.892306204672952
29,45.0,-0.512965912844606,54.0,10.831517940079662,-0.5133025838297582,11.110917002787442
30,46.0,-0.4774778239733024,57.0,10.144568032025637,-0.3989358705521431,10.518994461468305
31,47.0,-0.4515222600275668,54.0,9.35713204962742,-0.4961907953443831,10.132469839031604
32,44.0,-0.4797568572509645,55.0,8.896904383841607,-0.4527651772204861,9.933910477690928
33,45.0,-0.44868935757659,54.0,8.78831674416567,-0.4171389458313648,10.240693485748595
34,44.0,-0.4805998805257885,55.0,8.687801159193254,-0.4351207473099463,10.405480100802194
35,41.0,-0.5396802005532662,58.0,8.788797427837855,-0.323001271914785,10.66943358318819
36,43.0,-0.4979502585420068,55.0,9.51646897722348,-0.3775119478718456,11.63167820825497
37,42.0,-0.4820228909667783,58.0,10.336385155476908,-0.2608314429900025,12.412436664705334
38,365.0,9.494019307033494,367.0,62.52382206897667,9.825322005179746,63.390182651080906
39,44.0,-0.4660479053094133,64.0,12.697701916407196,-0.3112511333415533,14.282460124432795
40,45.0,-0.5076683663376782,63.0,13.137914870337964,-0.3842338367582893,14.452898240508668
41,46.0,-0.5331660395343425,64.0,13.770588124371828,-0.4389757708735926,14.515182984874803
42,44.0,-0.52377659009634,63.0,13.84428489974857,-0.5044101910581258,14.040394319045
43,44.0,-0.5597534968447073,65.0,13.581898688011089,-0.4885943119656248,13.47948757022319
44,42.0,-0.5655200410568639,63.0,12.997014265649392,-0.4551173155617065,12.735081856057068
45,40.0,-0.571780047882978,59.0,11.844332531271297,-0.4426627442543425,11.837500127111126
46,37.0,-0.6160507563820641,62.0,10.98778556867197,-0.3856699666005907,11.071003680840072
47,36.0,-0.6426085200692011,59.0,10.335756143362977,-0.4158735302176621,10.663244334534502
48,39.0,-0.59708867062067,54.0,9.488730572706416,-0.4818332256731681,10.308038129834475
49,37.0,-0.6122864161694972,52.0,9.384985504533214,-0.3859917033531408,10.151817135260242
50,40.0,-0.5790593763990874,54.0,9.40242135986059,-0.3298864493887965,10.319697848428726
51,40.0,-0.5629088721733053,52.0,9.510728899215527,-0.2936427160803334,10.20059232971444
52,44.0,-0.5113080964539094,53.0,9.89153557951864,-0.2169003965883216,10.34387607340364
53,42.0,-0.4818995227248601,53.0,10.137472712336704,-0.2992010681710693,10.332787939498276
54,41.0,-0.4581789267012768,54.0,10.167119332313916,-0.225894827043144,10.237744560981834
55,328.0,9.25085314584182,322.0,56.36191125156256,9.29773792209307,56.623628350656745
56,356.0,3.7449942377032457,353.0,76.36750737883168,3.709824027126971,76.3075746376104
57,40.0,-0.4062521190099684,55.0,9.58199238181262,0.0220840190075812,9.836801832176224
58,42.0,-0.4689371038610539,63.0,9.182758826117894,0.2936841771397587,9.822268373435495
59,40.0,-0.5241241431871844,56.0,8.759361906165534,0.1773161878401632,9.593776567558102
60,636.0,4.58667142004275,617.0,91.43592735639864,4.5634128515211705,91.9414556584482
61,390.0,3.848621945139191,399.0,87.7675505835445,3.8895663369972144,88.01769388639525
62,297.0,6.2126332815377605,308.0,59.154046831891314,6.3591946068372245,59.665074163632106
63,279.0,7.9893954873626996,290.0,59.44678236196361,8.179837544807778,59.8971929545731
64,299.0,13.581766931426394,310.0,48.756834127723664,14.11469600937361,49.52429473328491
65,44.0,-0.7382763678281683,65.0,10.832144364432978,-0.5043250945112914,12.609644133087528
66,279.0,17.988876511215505,293.0,36.72247766894901,19.196474139922262,37.55026695177672
67,471.0,8.727785240332555,472.0,54.66553470693996,9.046173442510998,55.43499169705192
68,431.0,14.4220729373261,427.0,64.77007397235438,14.73440827786079,65.54730496649728
69,286.0,17.55938608341671,287.0,42.63189245559264,18.50215648176349,43.50423544608646
70,355.0,10.565840772698886,346.0,60.49049252177059,10.788544936594676,61.21208933695922
71,53.0,-0.5142277045964878,58.0,15.655848221599586,-0.5737073876914316,16.730749996908482
72,50.0,-0.5177346596932306,59.0,15.655566505818008,-0.5721353923564245,16.31478741757335
73,50.0,-0.4838945157538767,59.0,15.422558462042227,-0.5300051591659223,15.876965222867248
74,48.0,-0.4989879807190722,59.0,15.05359507641522,-0.5023596267407031,15.5154491146634
75,44.0,-0.498147637143854,63.0,13.94547235396931,-0.4565403300806379,14.324095089775335
76,43.0,-0.5057951406357906,60.0,13.56923597271949,-0.4578408286137261,14.12941880459064
77,41.0,-0.5288497749430121,61.0,12.753841495204734,-0.4737666740388242,13.622821561245104
78,40.0,-0.504861248417328,61.0,12.46917908097362,-0.4751299194022271,13.536261717436906
79,388.0,16.32033487955642,397.0,52.06508876476525,16.69689278451447,52.7044323547124
80,595.0,26.72414401856362,603.0,82.7420715507512,26.9635113362728,83.28378744862455
81,40.0,-0.478660934276697,56.0,12.885705900982945,-0.4146726974335797,13.35220318611403
82,40.0,-0.4764844491098148,60.0,13.22550304486401,-0.3845776790775592,13.449206387775616
83,41.0,-0.4688125861470951,55.0,13.321450243443785,-0.406153959525303,13.107296293997072
84,41.0,-0.4807420202940342,53.0,13.07748910655295,-0.4145987265618602,12.880774115855228
85,42.0,-0.4761299422336238,54.0,12.770219044372526,-0.4010915076635886,12.548408015088503
86,661.0,12.77858049989295,657.0,81.68857140512202,12.698562465104542,82.36618997979494
87,377.0,7.347285838421758,378.0,76.15369898806766,7.410326485559949,76.59738543244399
88,42.0,-0.5220436006506253,56.0,13.279204652946415,-0.503184241346669,14.08824217260486
89,318.0,10.2040095686455,321.0,64.23635827076093,10.35698325005482,64.88019428629094
90,279.0,6.851201958150021,283.0,48.87863235048721,7.016777204204505,49.455053125110425
91,41.0,-0.4962753737871304,52.0,12.63260861863095,-0.4529081321786137,13.451571335231272
92,40.0,-0.4947532097366713,57.0,12.711458964152705,-0.4417207982664157,13.288257836749167
93,41.0,-0.4882447632211537,53.0,12.886877482664174,-0.4410216083303115,13.114610398254742
94,40.0,-0.4983841628954053,49.0,12.936381238547238,-0.448209683718217,12.893291194516973
95,41.0,-0.4957673120817327,48.0,12.6498840517319,-0.4419058632357977,12.72853691171688
96,344.0,9.068740366829788,344.0,69.2888657570435,9.074909233730224,69.61592379901836
97,42.0,-0.4770923343177271,47.0,11.58122383646884,-0.4267144342894409,11.794225566779671
98,40.0,-0.4686380920137192,47.0,11.186324398184444,-0.4144752651982881,11.35454192924057
99,43.0,-0.4547472542874198,47.0,10.587664597566608,-0.3970567106937945,10.989590517587338
100,49.0,-0.3675361372409678,47.0,9.619994141377084,-0.3598455048965783,10.252600339269597
101,43.0,-0.4321930558267977,46.0,9.251642050496391,-0.3518652935161133,10.07676023697756
102,47.0,-0.3501074071819423,48.0,8.852423917050128,-0.3126254533086645,10.031392541274396
103,50.0,-0.3275417146368329,46.0,8.550527128246875,-0.2620278193017125,10.097446550935562
104,450.0,5.841128636363017,453.0,82.12057361646113,6.00037581585039,82.96526963811775
105,50.0,-0.3936897221789102,46.0,8.678046860438602,-0.3041208639314319,10.645995680068763
106,47.0,-0.5768928066887926,50.0,9.42039945178558,-0.3057048791632235,11.375463183491414
107,46.0,-0.6031204461379467,54.0,9.9865269513024,-0.321553464137235,12.041769855536971
108,47.0,-0.6394657638999433,56.0,10.701799751859998,-0.3958490062386994,12.794627376032832
109,52.0,-0.6469727504102951,61.0,12.363038217709493,-0.4432283161429931,14.169505190451828
110,50.0,-0.7229099795878229,61.0,13.032404447650649,-0.5362921549667456,14.607440437799116
111,312.0,11.182779459363491,317.0,48.41492414754932,11.463923796116426,49.02496032854923
112,49.0,-0.8372529380452725,62.0,14.14068670767964,-0.77760871631763,14.553486055414858
113,49.0,-0.8354610530585918,60.0,14.14931227080786,-0.8166607334645768,14.29045203681333
114,47.0,-0.8661995924281323,55.0,13.801671484231584,-0.8440032239620283,13.69045334199827
115,44.0,-0.9014449615714132,58.0,12.972256719108293,-0.8138988232914546,13.009677527879155
116,45.0,-0.883460002332157,55.0,12.338577207253175,-0.8313347546602996,12.629432968973852
117,45.0,-0.8348327937917466,48.0,11.627726752803497,-0.8793901024052238,12.172250257865276
118,40.0,-0.838831810536389,51.0,11.209197978325308,-0.7728126974771827,11.935408002844872
119,41.0,-0.8148030565322202,48.0,11.08070197509008,-0.7945979134968955,11.8473353380163
120,44.0,-0.7865238424073291,45.0,11.139188558379397,-0.762660707618017,12.000878580151864
121,42.0,-0.8085944557625053,46.0,11.410331798285258,-0.7223414620682145,12.264068404044917
122,42.0,-0.8298612073150893,45.0,11.728186900509227,-0.7716102643787677,12.33914933009169
123,43.0,-0.8350051297058179,45.0,12.010253798509371,-0.8094971478655912,12.461280655700886
124,43.0,-0.8380586027714383,49.0,12.284828194078456,-0.8357405702394143,12.466015182360971
125,44.0,-0.7886866208198766,48.0,12.322813830301849,-0.8322751214321391,12.379266880530515
126,41.0,-0.7206364119620652,49.0,12.138980446740188,-0.7977088019679504,12.158898901031948
127,41.0,-0.6623457373496953,50.0,11.84235815108762,-0.7140053834515694,12.045308437203106
128,41.0,-0.5745091264786848,48.0,11.541061295636386,-0.6640647817491585,11.983629028178584
129,40.0,-0.5264043530023641,51.0,11.07407802399968,-0.5287123398188176,11.686105180195094
130,39.0,-0.4723172507536821,52.0,10.7798405563232,-0.3605586440778907,11.585473012619914
131,39.0,-0.4310417508339412,52.0,10.538633228911838,-0.2794194770979135,11.75233284781064
132,37.0,-0.4049260006449602,52.0,10.52095704222762,-0.1555611731952377,11.96786151637018
133,38.0,-0.3829350051142182,50.0,10.76679012091362,-0.1724583265947861,12.452810870026225
